# ipc_version: 2026.01
# source: WIPO IPC scheme EN XML 2026.01 + CNIPA Chinese classification PDFs
code,zh,en
A63F,纸牌，棋盘或轮盘赌游戏,"CARD, BOARD OR ROULETTE GAMES；INDOOR GAMES USING SMALL MOVING PLAYING BODIES；VIDEO GAMES；GAMES NOT OTHERWISE PROVIDED FOR"
A63G,旋转木马,MERRY-GO-ROUNDS；SWINGS；ROCKING-HORSES；CHUTES；SWITCHBACKS；SIMILAR DEVICES FOR PUBLIC AMUSEMENT
A63H,玩具,"TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS"
A63J,供戏院、马戏场等使用的装置,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE；CONJURING APPLIANCES OR THE LIKE"
A63K,赛马,RACING；RIDING SPORTS；EQUIPMENT OR ACCESSORIES THEREFOR
A99Z,本部其他未列入的技术主题,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
B01B,沸腾,BOILING；BOILING APPARATUS
B01D,分离,SEPARATION
B01F,混合,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING"
B01J,化学或物理方法，例如，催化作用或胶体化学,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY；THEIR RELEVANT APPARATUS"
B01L,通用化学或物理实验室设备,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE
B02B,碾磨谷物的准备,PREPARING GRAIN FOR MILLING；REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE
B02C,一般破碎、研磨或粉碎,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL；MILLING GRAIN"
B03B,用液体或用风力摇床或风力跳汰机分离固体物料,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS
B03C,从固体物料或流体中分离固体物料的磁或静电分离,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS；SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
B03D,浮选,FLOTATION；DIFFERENTIAL SEDIMENTATION
B04B,离心机,CENTRIFUGES
B04C,应用自由旋流的装置,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES"
B05B,喷射装置,SPRAYING APPARATUS；ATOMISING APPARATUS；NOZZLES
B05C,一般对表面涂布流体的装置,"APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
B05D,对表面涂布流体的一般工艺,"PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
B06B,一般的机械振动的发生或传递,GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL
B07B,用细筛、粗筛、筛分或用气流将固体从固体中分离,"SEPARATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, SIFTING OR BY USING GAS CURRENTS；SEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL"
B07C,邮件分拣,"POSTAL SORTING；SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING"
B08B,一般清洁,CLEANING IN GENERAL；PREVENTION OF FOULING IN GENERAL
B09B,其他类目不包括的固体废物的处理,DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR
B09C,污染的土壤的再生,RECLAMATION OF CONTAMINATED SOIL
B21B,金属的轧制,ROLLING OF METAL
B21C,用非轧制的方式生产金属板、线、棒、管、型材或类似半成品,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES, PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING；AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL"
B21D,金属板或管、棒或型材的基本无切削加工或处理,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL；PUNCHING METAL"
B21F,金属线材的加工或处理,WORKING OR PROCESSING OF METAL WIRE
B21G,金属针、销或钉的制造,"MAKING NEEDLES, PINS OR NAILS OF METAL"
B21H,用轧制方法制造特殊的金属物品,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS"
B21J,锻造,FORGING；HAMMERING；PRESSING METAL；RIVETING；FORGE FURNACES
B21K,锻件或金属压制件的制造,"MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS"
B21L,金属链条的制造,MAKING METAL CHAINS
B22C,铸造造型,FOUNDRY MOULDING
B22D,金属铸造,CASTING OF METALS；CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES
B22F,金属粉末的加工,WORKING METALLIC POWDER；MANUFACTURE OF ARTICLES FROM METALLIC POWDER；MAKING METALLIC POWDER；APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER
B23B,车削,TURNING；BORING
B23C,铣削,MILLING
B23D,刨削,"PLANING；SLOTTING；SHEARING；BROACHING；SAWING；FILING；SCRAPING；LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR"
B23F,齿轮或齿条的制造,MAKING GEARS OR TOOTHED RACKS
B23G,螺纹切制,"THREAD CUTTING；WORKING OF SCREWS, BOLT HEADS OR NUTS, IN CONJUNCTION THEREWITH"
B23H,用电极代替刀具，以电流高度集中的作用在工件上的金属加工,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL；SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL
B23K,钎焊或脱焊,"SOLDERING OR UNSOLDERING；WELDING；CLADDING OR PLATING BY SOLDERING OR WELDING；CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING；WORKING BY LASER BEAM"
B23P,未包含在其他位置的金属加工,METAL-WORKING NOT OTHERWISE PROVIDED FOR；COMBINED OPERATIONS；UNIVERSAL MACHINE TOOLS
B23Q,机床的零件、部件或附件,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING；MACHINE TOOLS IN GENERAL, CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS；COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT"
B24B,用于磨削或抛光的机床、装置或工艺,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING；DRESSING OR CONDITIONING OF ABRADING SURFACES；FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS"
B24C,磨料或微粒材料的喷射,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
B24D,磨削、抛光或刃磨用的工具,"TOOLS FOR GRINDING, BUFFING OR SHARPENING"
B25B,不包含在其他类目中的用于紧固、连接、拆卸或夹持的工具或台式设备,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING, OR HOLDING"
B25C,手持钉钉或钉U形钉工具,HAND-HELD NAILING OR STAPLING TOOLS；MANUALLY-OPERATED PORTABLE STAPLING TOOLS
B25D,冲击工具,PERCUSSIVE TOOLS
B25F,不包括在其他类目中的组合工具或多用途工具,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR；DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR
B25G,手动器械的手柄,HANDLES FOR HAND IMPLEMENTS
B25H,车间设备，例如用于工件划线,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK；STORAGE MEANS FOR WORKSHOPS"
B25J,机械手,MANIPULATORS；CHAMBERS PROVIDED WITH MANIPULATION DEVICES
B26B,不包含在其他类目中的手持切割工具,HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR
B26D,切割,"CUTTING；DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING"
B26F,打孔,PERFORATING；PUNCHING；CUTTING-OUT；STAMPING-OUT；SEVERING BY MEANS OTHER THAN CUTTING
B27B,木材或相似材料用锯,SAWS FOR WOOD OR SIMILAR MATERIAL；COMPONENTS OR ACCESSORIES THEREFOR
B27C,木材或相似材料用木工刨床、钻床、铣床、车床或通用机械,"PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL"
B27D,加工单板或胶合板,WORKING VENEER OR PLYWOOD
B27F,木材或相似材料的楔形榫的加工,DOVETAILED WORK；TENONS；SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL；NAILING OR STAPLING MACHINES
B27G,加工木材或类似材料的附属机械和装置,ACCESSORY MACHINES OR APPARATUS FOR WORKING WOOD OR SIMILAR MATERIALS；TOOLS FOR WORKING WOOD OR SIMILAR MATERIALS；SAFETY DEVICES FOR WOOD WORKING MACHINES OR TOOLS
B27H,弯曲木材或相似材料,BENDING WOOD OR SIMILAR MATERIAL；COOPERAGE；MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL
B27J,藤茎、软木或类似材料的机械加工,"MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS"
B27K,其他类目中不包括的木材的浸渍、着色、染色、漂白，或者用渗入液体处理木材的工艺、设备或材料选择,"PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING OR BLEACHING OF WOOD, OR FOR TREATING OF WOOD WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR；CHEMICAL OR PHYSICAL TREATMENT OF CORK, CANE, REED, STRAW OR SIMILAR MATERIALS"
B27L,除去树皮或残留树枝,"REMOVING BARK OR VESTIGES OF BRANCHES；SPLITTING WOOD；MANUFACTURE OF VENEER, WOODEN STICKS, WOOD SHAVINGS, WOOD FIBRES OR WOOD POWDER"
B27M,不包含在B27B至B27L小类中的木材加工,WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES；MANUFACTURE OF SPECIFIC WOODEN ARTICLES
B27N,用干燥方法制造物品,"MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL"
B28B,黏土或其他陶瓷成分的成型,"SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS；SHAPING SLAG；SHAPING MIXTURES CONTAINING CEMENTITIOUS MATERIAL, e.g. PLASTER"
B28C,制造黏土,"PREPARING CLAY；PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL, e.g. PLASTER"
B28D,加工石头或类似石头的材料,WORKING STONE OR STONE-LIKE MATERIALS
B29B,成型材料的准备或预处理,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED；MAKING GRANULES OR PREFORMS；RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS
B29C,塑料的成型连接,"SHAPING OR JOINING OF PLASTICS；SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR；AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING"
B29D,用塑料或用塑性状态的物质生产特殊制品,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE
B29K,引得表,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES ,  OR , RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR REINFORCEMENTS, FILLERS OR PREFORMED PARTS, e.g. INSERTS"
B29L,引得表,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS , RELATING TO PARTICULAR ARTICLES"
B30B,一般压力机,PRESSES IN GENERAL；PRESSES NOT OTHERWISE PROVIDED FOR
B31B,纸、纸板或以类似纸的方式加工的材料制成的容器的制作,"MAKING CONTAINERS OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B31C,由纸、纸板或使用上与纸类似的材料制造绕制物品,"MAKING WOUND ARTICLES, e.g. WOUND TUBES, OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B31D,制作不包括在B31B或B31C小类的纸板或类似纸的方式加工的材料制造的物品,"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, NOT PROVIDED FOR IN SUBCLASSES  OR"
B31F,纸张,"MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B32B,层状产品,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM"
B33Y,增材制造,"ADDITIVE MANUFACTURING, i.e. MANUFACTURING OF THREE-DIMENSIONAL [3D] OBJECTS BY ADDITIVE DEPOSITION, ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING, e.g. BY 3D PRINTING, STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING"
B41B,制版、排字或拆版还字用的机器或附件,"MACHINES OR ACCESSORIES FOR MAKING, SETTING, OR DISTRIBUTING TYPE；TYPE；PHOTOGRAPHIC OR PHOTOELECTRONIC COMPOSING DEVICES"
B41C,印刷版的制造或复制工艺,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES
B41D,铅版印刷版的印版的机械复制设备,APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING；SHAPING ELASTIC OR DEFORMABLE MATERIAL TO FORM PRINTING SURFACES
B41F,印刷机械或印刷机,PRINTING MACHINES OR PRESSES
B41G,用于金粉印刷、线条印刷，或用于单张纸或类似物品印刷花边或边线的装置,"APPARATUS FOR BRONZE PRINTING, LINE PRINTING, OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES；AUXILIARY APPARATUS FOR PERFORATING IN CONJUNCTION WITH PRINTING"
